objectid;title;creator;date;format;type;location;latitude;longitud;filename
FEBU_1;La Libelula Colombiana;Feliza Burstein;1981;image/jpeg;Escultura - Ensamblaje;Bogotá - Centro Cultural de Bogotá - Museo de Arte Miguel Urrutia - Exposición Permanente de la Colección de Arte;45.962.588;-7.407.311.593;FEBU_1.jpg
MARI_2;De La Serie Parejas;MariPaz Jaramillo;1985;image/jpeg;Pastel y oleo sobre tela y madera;Cali - Museo La Tertulia;345.028.021;-7.654.530.724;MARI_2.jpg
HERO_3;Cabeza Negra;Hena Rodriguez;1945;image/jpeg;Talla en madera;Bogotá - Museo Nacional de Colombia;461.560.505;-7.406.860.033;HERO_3.jpg
DEAR_4;La Salida De Laureano;Debora Arango;1953;image/jpeg;Óleo sobre lienzo;Medellín - Museo de Arte Moderno de Medellín;459.669.376;-7.407.256.346;DEAR_4.jpg
MATE_5;Vitrina;Maria Teresa Hincapie;1989;image/jpeg;Performance;Medellín - Museo de Arte Moderno de Medellín;622.378.007;-7.557.384.146;MATE_5.jpg
LUTE_6;La Ceiba Dorada;Lucy Tejada;1958;image/jpeg;Oleo sobre lienzo;Pererira - Museo Lucy Tejada;481.261.356;-7.569.245.038;LUTE_6.jpg
DOSA_7;Fragmentos;Doris Salcedo;2018;image/jpeg;Instalación;Bogotá - Museo Nacional de Colombia;461.560.505;-7.406.860.033;DOSA_7.jpg
