objectid;title;creator;date;format;type;location;latitude;longitud;filename
FEBU_1;La Libelula Colombiana;Feliza Burstein;1981;image/jpeg;Escultura - Ensamblaje;Bogotá - Centro Cultural de Bogotá - Museo de Arte Miguel Urrutia - Exposición Permanente de la Colección de Arte;4.5962588;-74.07311593;FEBU_1.jpg
MARI_2;De La Serie Parejas;MariPaz Jaramillo;1985;image/jpeg;Pastel y oleo sobre tela y madera;Cali - Museo La Tertulia;3.45028021;-76.54530724;MARI_2.jpg
HERO_3;Cabeza Negra;Hena Rodriguez;1945;image/jpeg;Talla en madera;Bogotá - Museo Nacional de Colombia;4.61560505;-74.06860033;HERO_3.jpg
DEAR_4;La Salida De Laureano;Debora Arango;1953;image/jpeg;Óleo sobre lienzo;Medellín - Museo de Arte Moderno de Medellín;4.59669376;-74.07256346;DEAR_4.jpg
MATE_5;Vitrina;Maria Teresa Hincapie;1989;image/jpeg;Performance;Medellín - Museo de Arte Moderno de Medellín;6.22378007;-75.57384146;MATE_5.jpg
LUTE_6;La Ceiba Dorada;Lucy Tejada;1958;image/jpeg;Oleo sobre lienzo;Pererira - Museo Lucy Tejada;4.81261356;-75.69245038;LUTE_6.jpg
DOSA_7;Fragmentos;Doris Salcedo;2018;image/jpeg;Instalación;Bogotá - Museo Nacional de Colombia;4.61560505;-74.06860033;DOSA_7.jpg
